id,category,target_source,condition,question,retry_fired,verifier_score_initial,verifier_score_final,latency_ms,llm_call_count,groundedness_score,correctness_score,used_fallback,judge_reasoning
vec_1,vector_only,vector_db,baseline,What are Reliance Industries key sustainability and net-zero target commitments mentioned in their annual reports?,False,0.85,0.85,51566.51,1,4,3,True,Rule-based overlap score (Ratio: 0.47)
vec_2,vector_only,vector_db,baseline,How does Tata Motors describe its corporate strategy for domestic passenger vehicle expansion?,False,0.85,0.85,28618.92,1,3,2,True,Rule-based overlap score (Ratio: 0.29)
vec_3,vector_only,vector_db,baseline,What is the primary objective of Jaguar Land Rover's Reimagine strategy?,False,0.84,0.84,21346.84,1,5,5,True,Rule-based overlap score (Ratio: 0.89)
vec_4,vector_only,vector_db,baseline,What solar and renewable energy facilities is Reliance Industries building in Jamnagar?,False,0.88,0.88,25012.17,1,5,5,True,Rule-based overlap score (Ratio: 0.60)
vec_5,vector_only,vector_db,baseline,What telematics technology platform is deployed across Tata Motors commercial vehicles fleet?,False,0.85,0.85,28217.57,1,5,5,True,Rule-based overlap score (Ratio: 0.67)
vec_6,vector_only,vector_db,baseline,How did Reliance Retail expand its omnichannel presence and store network footprint in recent fiscal years?,False,0.85,0.85,17142.44,1,5,5,True,Rule-based overlap score (Ratio: 0.62)
sql_1,sql_only,sql_api,baseline,What was Tata Motors consolidated net profit (PAT) in FY24?,False,0.9,0.9,11163.27,1,5,5,True,Rule-based overlap score (Ratio: 0.75)
sql_2,sql_only,sql_api,baseline,What was Reliance Industries consolidated EBITDA in FY24?,False,0.85,0.85,24115.0,1,5,5,True,Rule-based overlap score (Ratio: 0.75)
sql_3,sql_only,sql_api,baseline,What was Tata Motors net automotive debt reduction status by FY24?,False,0.85,0.85,22215.7,1,5,5,True,Rule-based overlap score (Ratio: 0.71)
sql_4,sql_only,sql_api,baseline,What was Reliance Industries consolidated total revenue in FY24 in Crore Rupees?,False,0.73,0.73,16281.33,1,5,5,True,Rule-based overlap score (Ratio: 0.60)
sql_5,sql_only,sql_api,baseline,What was Tata Motors Indian electric vehicle market share percentage in FY24?,False,0.6,0.6,17298.04,1,5,5,True,Rule-based overlap score (Ratio: 0.70)
sql_6,sql_only,sql_api,baseline,What was Tata Motors EBITDA in FY24 in Crore Rupees?,False,0.85,0.85,14082.21,1,5,5,True,Rule-based overlap score (Ratio: 0.86)
graph_1,graph_only,knowledge_graph,baseline,"What is the relationship between Tata Motors, JLR, and TPEM?",False,0.9,0.9,26723.1,1,5,5,True,Rule-based overlap score (Ratio: 0.84)
