id,category,target_source,condition,question,retry_fired,verifier_score_initial,verifier_score_final,latency_ms,llm_call_count,groundedness_score,correctness_score,judge_reasoning
vec_1,vector_only,vector_db,baseline,What are Reliance Industries key sustainability and net-zero target commitments mentioned in their annual reports?,False,0.95,0.95,5686.89,1,4,3,Rule-based overlap score (Ratio: 0.47)
vec_2,vector_only,vector_db,baseline,How does Tata Motors describe its corporate strategy for domestic passenger vehicle expansion?,False,0.95,0.95,25.87,1,3,2,Rule-based overlap score (Ratio: 0.21)
vec_3,vector_only,vector_db,baseline,What is the primary objective of Jaguar Land Rover's Reimagine strategy?,False,0.95,0.95,21.41,1,5,5,Rule-based overlap score (Ratio: 0.68)
vec_4,vector_only,vector_db,baseline,What solar and renewable energy facilities is Reliance Industries building in Jamnagar?,False,0.95,0.95,21.75,1,5,5,Rule-based overlap score (Ratio: 0.75)
vec_5,vector_only,vector_db,baseline,What telematics technology platform is deployed across Tata Motors commercial vehicles fleet?,False,0.95,0.95,25.4,1,4,3,Rule-based overlap score (Ratio: 0.47)
vec_6,vector_only,vector_db,baseline,How did Reliance Retail expand its omnichannel presence and store network footprint in recent fiscal years?,False,0.95,0.95,19.78,1,5,5,Rule-based overlap score (Ratio: 0.69)
sql_1,sql_only,sql_api,baseline,What was Tata Motors consolidated net profit (PAT) in FY24?,False,0.95,0.95,17.8,1,5,5,Rule-based overlap score (Ratio: 0.75)
sql_2,sql_only,sql_api,baseline,What was Reliance Industries consolidated EBITDA in FY24?,False,0.95,0.95,17.84,1,5,5,Rule-based overlap score (Ratio: 0.75)
sql_3,sql_only,sql_api,baseline,What was Tata Motors net automotive debt reduction status by FY24?,False,0.95,0.95,18.02,1,5,5,Rule-based overlap score (Ratio: 0.71)
sql_4,sql_only,sql_api,baseline,What was Reliance Industries consolidated total revenue in FY24 in Crore Rupees?,False,0.95,0.95,18.6,1,5,5,Rule-based overlap score (Ratio: 0.60)
sql_5,sql_only,sql_api,baseline,What was Tata Motors Indian electric vehicle market share percentage in FY24?,False,0.95,0.95,19.14,1,5,5,Rule-based overlap score (Ratio: 0.80)
sql_6,sql_only,sql_api,baseline,What was Tata Motors EBITDA in FY24 in Crore Rupees?,False,0.95,0.95,17.6,1,5,5,Rule-based overlap score (Ratio: 0.86)
graph_1,graph_only,knowledge_graph,baseline,"What is the relationship between Tata Motors, JLR, and TPEM?",False,0.95,0.95,16.83,1,5,5,Rule-based overlap score (Ratio: 0.68)
graph_2,graph_only,knowledge_graph,baseline,Which investor committed 1 billion dollars to Tata Passenger Electric Mobility (TPEM)?,False,0.95,0.95,17.3,1,5,5,Rule-based overlap score (Ratio: 0.88)
graph_3,graph_only,knowledge_graph,baseline,What strategic corporate de-merger was approved by the Tata Motors Board for 2024-2025?,False,0.95,0.95,18.21,1,5,5,Rule-based overlap score (Ratio: 0.77)
graph_4,graph_only,knowledge_graph,baseline,What are the key operating divisions and retail subsidiaries of Reliance Industries?,False,0.95,0.95,17.8,1,4,3,Rule-based overlap score (Ratio: 0.50)
graph_5,graph_only,knowledge_graph,baseline,What clean energy transition commitment did Reliance Industries make for its Jamnagar Giga Complex?,False,0.95,0.95,19.52,1,4,3,Rule-based overlap score (Ratio: 0.40)
graph_6,graph_only,knowledge_graph,baseline,Which luxury automotive subsidiary executes the Reimagine electrification strategy under Tata Motors?,False,0.95,0.95,17.52,1,5,5,Rule-based overlap score (Ratio: 0.70)
web_1,web_only,web_search,baseline,What is the latest stock market news or valuation updates for Tata Motors in 2024?,False,0.95,0.95,16.87,1,4,3,Rule-based overlap score (Ratio: 0.38)
web_2,web_only,web_search,baseline,What recent joint venture or partnership announcements were made by Reliance Jio in 2024?,False,0.95,0.95,18.67,1,4,3,Rule-based overlap score (Ratio: 0.46)
web_3,web_only,web_search,baseline,What recent electric vehicle models were launched by Tata Motors in 2024 such as Punch EV or Curvv EV?,False,0.95,0.95,18.69,1,5,5,Rule-based overlap score (Ratio: 0.60)
web_4,web_only,web_search,baseline,What recent green energy investments or giga factory updates did Reliance announce in 2024?,False,0.95,0.95,17.92,1,3,2,Rule-based overlap score (Ratio: 0.29)
